sample_id,mvdr_sir,smvb_sir,mvdr_pesq,smvb_pesq
0,19.344886651484707,19.925476010412574,1.7202035188674927,1.7100715637207031
1,26.398594715136987,20.645072699944514,2.134451150894165,2.09842848777771
2,30.812102793507382,29.9928763801714,1.4575908184051514,1.4296940565109253
3,22.5306921241842,20.94235578141126,1.8145354986190796,1.8066632747650146
4,48.48544301510435,30.286647770394616,2.221912384033203,1.9030840396881104
5,47.024828854999576,25.148229999938074,1.9836719036102295,1.676142930984497
6,43.579834858918225,32.3325584872321,2.293757438659668,2.039780855178833
7,22.11152204865862,19.544023915779526,1.8246331214904785,1.7792707681655884
8,61.59126506058395,29.577482342953793,2.2799952030181885,2.018476963043213
9,23.423661650036138,24.245521675865845,1.6264989376068115,1.5794774293899536
10,49.49598367056397,27.796739739222357,2.390450954437256,2.0820000171661377
11,38.70664425136356,19.653745110124316,2.1462881565093994,1.7354549169540405
12,27.086684888627026,19.442695216178297,2.028749942779541,1.8787239789962769
13,18.9480191016501,18.906753051235526,1.7304270267486572,1.7175276279449463
14,34.72105576533363,26.58565066789783,1.158095121383667,1.1864455938339233
15,19.637362546571413,19.512041977948385,2.038249969482422,2.0006744861602783
16,21.78385628066639,21.341508343351624,1.9786834716796875,1.9645888805389404
17,48.24569798317814,31.276137964052868,2.3949692249298096,2.238687038421631
18,30.99996114895292,22.635504415432703,1.9838578701019287,1.8183172941207886
19,27.50853279225378,20.943990769468968,1.8938415050506592,1.8082081079483032
20,24.165722995691723,21.436249356355486,1.6400697231292725,1.6857354640960693
21,25.93919088141913,20.697700681297874,2.002159357070923,1.85335373878479
22,29.53148495593023,23.240354788540998,1.9113579988479614,1.7626608610153198
23,40.321728329164806,21.04409893855129,2.2831010818481445,1.8635573387145996
24,18.117459760417816,18.13993150883608,1.6517815589904785,1.6451714038848877
25,50.490364516423796,30.86113699973779,2.62939453125,2.1963565349578857
26,19.325855060324393,19.01317414714682,1.6505706310272217,1.6452209949493408
27,44.11374276325249,28.130541010748125,2.054931402206421,1.7968223094940186
28,51.755556294413836,30.035725273626845,1.9153903722763062,1.7194738388061523
29,51.08194655851712,27.833262281273452,1.5773169994354248,1.4297068119049072
30,22.990273212605636,20.03089987091395,1.694777488708496,1.6496074199676514
31,21.542737944766863,20.99196736562039,1.8897989988327026,1.8651540279388428
32,41.680378246778375,21.732189598308818,2.057892084121704,1.7603538036346436
33,56.13883923538258,22.003988122318404,1.7477936744689941,1.6567960977554321
34,47.69384308950023,22.081080023141958,1.67477548122406,1.5740113258361816
35,49.35327077696611,28.62892667137445,2.1737682819366455,1.9372094869613647
36,22.82298287549214,21.573067181559367,1.8772785663604736,1.8758888244628906
37,55.76394073358588,29.207178013721062,1.87904953956604,1.6510262489318848
38,28.618512041563392,23.983127196193518,2.0514848232269287,1.9259827136993408
39,49.042084307980346,28.10090027923867,2.502671003341675,2.1700947284698486
40,55.69615648452776,30.65641110109638,2.186616897583008,1.8429983854293823
41,42.97361305562702,25.485309816502077,2.255408525466919,1.895658016204834
42,24.72470359535013,22.410183767567055,2.001333475112915,1.9507981538772583
43,39.064071495336286,33.93022658008951,2.0343401432037354,1.890113353729248
44,18.95627236320948,18.877343414862345,1.9088528156280518,1.9255809783935547
45,34.701608697419836,22.35931621867374,2.618558406829834,2.3034756183624268
46,31.30698108807424,28.433197403913404,1.2300852537155151,1.2554941177368164
47,31.492019179175664,29.846585139575463,1.463491439819336,1.422378420829773
48,20.528200238661064,20.762269489567693,2.000098943710327,2.017900228500366
49,50.77782588004153,30.07853328260722,2.2191009521484375,1.9429876804351807
50,50.82715793075897,23.53849694758629,2.3453855514526367,2.062819480895996
51,23.481942289183127,21.527667640604903,1.8820655345916748,1.8876762390136719
52,21.810757638112154,21.171205056744576,2.094334602355957,2.090287685394287
53,43.78529389803185,27.272868183152525,2.2402946949005127,1.9527145624160767
54,18.171676503384077,17.822347344259057,1.5225821733474731,1.5044329166412354
55,18.545728771274234,17.14832675308108,1.8470664024353027,1.8576942682266235
56,17.59983533633728,15.532862828455542,1.8026237487792969,1.7771610021591187
57,53.600341077788904,34.43010561742523,2.23774790763855,1.9526716470718384
58,24.200390600174188,21.458535572987962,1.9836199283599854,1.906799554824829
59,21.579629842414914,20.914019864756895,1.878470540046692,1.895358920097351
60,26.33562636580562,25.125149494694313,1.3385154008865356,1.3722630739212036
61,73.72562719349182,31.266131564252046,2.2766826152801514,2.0600008964538574
62,20.111061159908914,18.44566734336874,1.9519290924072266,1.993384599685669
63,45.38540517339957,26.668384246246678,2.7103638648986816,2.3891265392303467
64,50.06356610899236,25.73584263913004,2.402567148208618,2.1209604740142822
65,18.864427465150204,18.69629066153296,1.7541635036468506,1.7360773086547852
66,21.005826304464886,19.864696134564625,1.9055485725402832,1.9265410900115967
67,23.053262058239,18.592788351512464,2.1202170848846436,2.0188286304473877
68,22.003508320270026,21.030480290003428,1.8878893852233887,1.893636703491211
69,19.425841326261217,18.718200819939273,1.730376958847046,1.7336615324020386
70,35.630615031630086,29.619186899337148,2.178682327270508,1.9324686527252197
